"","az","date","senat","Anordnung","link","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"548","1BvR476/10",2010-03-15,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/03/rk20100315_1bvr047610.html;jsessionid=B94D35F3E5DED1C35B7AD4B0C062B20C.2_cid392",2,"Hohmann-Dennhardt","Gaier","Kirchhof","Hohmann-Dennhardt","Gaier","Paulus","Masing Eichberger Kirchhof Schluckebier Bryde","Paulus","Kirchhof","Hohmann-Dennhardt Gaier Masing",3,1,"3","Masing Eichberger Kirchhof Schluckebier Bryde",2,FALSE,1
"2012","1BvR2959/07",2010-05-25,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/05/rk20100525_1bvr295907.html;jsessionid=77BEBED17DB4BBFF487690C5ADDC57B8.2_cid392",2,"Hohmann-Dennhardt","Gaier","Kirchhof","Hohmann-Dennhardt","Gaier","Paulus","Masing Eichberger Kirchhof Schluckebier Bryde","Paulus","Kirchhof","Hohmann-Dennhardt Gaier Masing",3,1,"3","Masing Eichberger Kirchhof Schluckebier Bryde",2,FALSE,1
"1388","1BvQ23/10",2010-08-02,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/08/qk20100802_1bvq002310.html;jsessionid=0D82C584CD8F87D30633FCD82E304810.2_cid383",2,"Gaier","Eichberger","Schluckebier","Hohmann-Dennhardt","Gaier","Paulus","Masing Eichberger Kirchhof Schluckebier Bryde","Hohmann-Dennhardt Paulus","Eichberger Schluckebier","Gaier Masing Eichberger",2,0,"2 3","Masing Eichberger Schluckebier Bryde",1,FALSE,1
"5538","1BvR2157/10",2010-09-17,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/09/rk20100917_1bvr215710.html;jsessionid=5981149DB3760C6375CE28673A43F62B.2_cid393",2,"Hohmann-Dennhardt","Gaier","Eichberger","Hohmann-Dennhardt","Gaier","Paulus","Masing Eichberger Kirchhof Schluckebier Bryde","Paulus","Eichberger","Hohmann-Dennhardt Gaier Masing",3,1,"2","Masing Eichberger Kirchhof Schluckebier Bryde",2,FALSE,1
"1548","1BvR2414/10",2010-09-30,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/09/rk20100930_1bvr241410.html;jsessionid=D3158D0C52B75003659D6C69D1A7128C.2_cid394",2,"Hohmann-Dennhardt","Gaier","Eichberger","Hohmann-Dennhardt","Gaier","Paulus","Masing Eichberger Kirchhof Schluckebier Bryde","Paulus","Eichberger","Hohmann-Dennhardt Gaier Masing",3,1,"2","Masing Eichberger Kirchhof Schluckebier Bryde",2,FALSE,1
"3721","1BvR2509/10",2010-10-07,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/10/rk20101007_1bvr250910.html;jsessionid=D3158D0C52B75003659D6C69D1A7128C.2_cid394",2,"Hohmann-Dennhardt","Eichberger","Schluckebier","Hohmann-Dennhardt","Gaier","Paulus","Masing Eichberger Kirchhof Schluckebier Bryde","Gaier Paulus","Eichberger Schluckebier","Hohmann-Dennhardt Masing Eichberger",2,0,"2 4","Masing Eichberger Kirchhof Schluckebier Bryde",1,FALSE,1
"1995","1BvR440/11",2011-02-28,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/02/rk20110228_1bvr044011.html;jsessionid=6072AFC7038BCEF9AB27948B90B3AA54.2_cid392",2,"Gaier","Eichberger","Britz","Gaier","Paulus","Britz","Masing Eichberger Kirchhof Baer Schluckebier","Paulus","Eichberger","Gaier Britz Masing",3,1,"2","Masing Eichberger Kirchhof Baer Schluckebier",2,FALSE,1
"2068","1BvR153/12",2012-01-20,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/01/rk20120120_1bvr015312.html;jsessionid=0FE0B7E1DBB67116B53038BCFB1B6FFC.2_cid392",2,"Kirchhof","Paulus","Britz","Gaier","Paulus","Britz","Masing Eichberger Kirchhof Baer Schluckebier","Gaier","Kirchhof","Paulus Britz Masing",2,0,"3","Masing Eichberger Kirchhof Baer Schluckebier",1,FALSE,1
"2685","1BvR1766/12",2012-08-29,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/08/rk20120829_1bvr176612.html;jsessionid=9331947F47C3DF0430C43507A32ED86E.2_cid383",2,"Gaier","Schluckebier","Britz","Gaier","Paulus","Britz","Masing Eichberger Kirchhof Baer Schluckebier","Paulus","Schluckebier","Gaier Britz Masing",3,1,"5","Masing Eichberger Kirchhof Baer Schluckebier",2,FALSE,1
"70","1BvL17/12",2012-10-05,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/10/lk20121005_1bvl001712.html;jsessionid=F57221A06D40EA6EFF826FFEE6121191.2_cid393",2,"Gaier","Eichberger","Britz","Gaier","Paulus","Britz","Masing Eichberger Kirchhof Baer Schluckebier","Paulus","Eichberger","Gaier Britz Masing",3,1,"2","Masing Eichberger Kirchhof Baer Schluckebier",2,FALSE,1
