"","az","date","senat","Anordnung","link","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"5349","1BvR1131/94",1998-05-05,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/05/rk19980505_1bvr113194.html;jsessionid=22DE9A56B5AE7F2AC1621AC313EA584B.2_cid394",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"632","1BvR935/98",1998-06-03,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/rk19980603_1bvr093598.html;jsessionid=532AFF6F2B05A8827DAD097C95C82A8A.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"1187","1BvR2652/95",1998-06-04,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/rk19980604_1bvr265295.html;jsessionid=532AFF6F2B05A8827DAD097C95C82A8A.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"5050","1BvR2313/96",1998-06-04,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/rk19980604_1bvr231396.html;jsessionid=532AFF6F2B05A8827DAD097C95C82A8A.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"5292","1BvR2386/94",1998-06-17,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/rk19980617_1bvr238694.html;jsessionid=A80AC76F2E663B765A48CA1567C7C390.2_cid393",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"557","1BvR1114/98",1998-06-18,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/rk19980618_1bvr111498.html;jsessionid=A80AC76F2E663B765A48CA1567C7C390.2_cid393",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"3518","1BvR434/98",1998-07-03,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/07/rk19980703_1bvr043498.html;jsessionid=F12AC20374B5AEEF7A3F62CBD168BFA0.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"4911","1BvR13/98",1998-07-03,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/07/rk19980703_1bvr001398.html;jsessionid=F12AC20374B5AEEF7A3F62CBD168BFA0.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"2607","1BvR1210/90",1998-07-06,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/07/rk19980706_1bvr121090.html;jsessionid=F12AC20374B5AEEF7A3F62CBD168BFA0.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"800","1BvR1708/92",1998-07-07,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/07/rk19980707_1bvr170892.html;jsessionid=F12AC20374B5AEEF7A3F62CBD168BFA0.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
