"","jahr","senat","kammer","richter","reihenfolge"
"193","2018",1,2,"Eichberger Baer Britz",321
"194","2018",1,3,"Kirchhof Masing Paulus",321
"195","2018",1,4,"Paulus Ott Christ",321
"196","2018",2,1,"Voßkuhle Kessal-Wulf Maidowski",321
"197","2018",2,2,"Huber Kessal-Wulf König",321
"198","2018",2,3,"Hermanns Müller Langenfeld",321
"199","Ab 13/07/2018",1,1,"Kirchhof Ott Christ",321
"200","Ab 13/07/2018",1,2,"Baer Britz Radtke",321
"201","Ab 13/07/2018",1,3,"Kirchhof Masing Paulus",321
"202","Ab 13/07/2018",1,4,"Paulus Ott Christ",321
"203","Ab 30/11/2018",1,1,"Harbarth Britz Radtke",321
"204","Ab 30/11/2018",1,2,"Masing Paulus Christ",321
"205","Ab 30/11/2018",1,3,"Harbarth Baer Ott",321
"206","2019",1,1,"Harbarth Britz Radtke",321
"207","2019",1,2,"Masing Paulus Christ",321
"208","2019",1,3,"Harbarth Baer Ott",321
"209","2019",2,1,"Voßkuhle Kessal-Wulf Maidowski",321
"210","2019",2,2,"Huber Kessal-Wulf König",321
"211","2019",2,3,"Hermanns Müller Langenfeld",321
