i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	Anordnung	link
4848	4847	1BvR1868/08	30.06.2009	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/06/rk20090630_1bvr186808.html;jsessionid=CE09042F268F546676D59170288C920C.2_cid392
4849	4848	1BvQ52/02	14.01.2003	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/01/qk20030114_1bvq005202.html;jsessionid=50932CD28FA7218491695AA3F17BE07E.2_cid361
4850	4849	2BvR1746/14	15.09.2014	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/09/rk20140915_2bvr174614.html;jsessionid=9F7FA5043E25EFCB6CFD2D68B0C43284.2_cid394
4851	4850	2BvE5/06	01.07.2009	2	NA	NA	 Vizepräsident Voßkuhle Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt Landau  	Voßkuhle, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	Voßkuhle, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/07/es20090701_2bve000506.html;jsessionid=CE09042F268F546676D59170288C920C.2_cid392
4852	4851	1BvR792/02	19.06.2002	1	1	1	 den Präsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/06/rk20020619_1bvr079202.html;jsessionid=81488CACDF83D350EC28126667CAF0CD.2_cid361
4853	4852	2BvR191/00	14.02.2000	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Broß  	Limbach, Hassemer, Broß	Limbach, Hassemer, Broß	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/02/rk20000214_2bvr019100.html;jsessionid=5680F045B15E5138A96B5EA05B1A2EF3.2_cid383
4854	4853	1BvR484/99	17.02.2000	1	1	1	 Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/02/rk20000217_1bvr048499.html;jsessionid=026243500AD4D5250017244CECD2A491.2_cid361
4855	4854	2BvR161/09	16.02.2009	2	2	2	 die Richter Broß Di Fabio Landau  	Broß, Di Fabio, Landau	Broß, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/02/rk20090216_2bvr016109.html;jsessionid=08FD767EFD5C4958B66A8D1E16CA8A09.2_cid370
4856	4855	1BvR30/00	23.06.2000	1	2	2	 Richter Kühling die Richterin Jaeger den Richter Hömig  	Kühling, Jaeger, Hömig	Kühling, Jaeger, Hömig	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/06/rk20000623_1bvr003000.html;jsessionid=C6C16DC65AC342B98DEFDBF2D0AA4089.2_cid394
4857	4856	1BvR1873/09	19.07.2010	1	3	3	 den Vizepräsidenten Kirchhof die Richter Bryde Schluckebier  	Kirchhof, Bryde, Schluckebier	Kirchhof, Bryde, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/07/rk20100719_1bvr187309.html;jsessionid=2628F67A5E7C796255ADEB79323617ED.2_cid383
4858	4857	1BvR1625/06	12.12.2007	1	3	3	 den Präsidenten Papier die Richter Gaier Kirchhof  	Papier, Gaier, Kirchhof	Papier, Gaier, Kirchhof	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/12/rk20071212_1bvr162506.html;jsessionid=385A9EBB205F4400F16CA4F0CE245507.2_cid392
4859	4858	2BvR530/03	06.05.2003	2	2	2	 den Vizepräsidenten Hassemer den Richter Broß die Richterin Lübbe-Wolff  	Hassemer, Broß, Lübbe-Wolff	Hassemer, Broß, Lübbe-Wolff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/05/rk20030506_2bvr053003.html;jsessionid=DBB7491583B2BBE19324CA34A5558222.2_cid392
4860	4859	2BvR1552/06	24.08.2006	2	3	3	 die Richter Di Fabio Mellinghoff Gerhardt  	Di Fabio, Mellinghoff, Gerhardt	DiFabio, Mellinghoff, Gerhardt	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/08/rk20060824_2bvr155206.html;jsessionid=6DE55F6CB9BFCB6C3732C6040FF5BB50.2_cid394
4861	4860	NA	None	NA	NA	NA	 	No names in the text	None	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/EN/2005/06/rk20050610_1bvr279004en.html;jsessionid=3E324D7467C59FCA0CDBCEC24AB4E273.2_cid392
4862	4861	2BvQ26/14	30.07.2014	2	2	2	 den Richter Landau   die Richterinnen Kessal-Wulf   König  	Landau, Kessal-Wulf, König	Landau, Kessal-Wulf, König	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/07/qk20140730_2bvq002614.html;jsessionid=D0B0238650DAEDA5B7DCDAED15CC5938.2_cid393
4863	4862	1BvR1306/02	24.11.2004	1	3	NA	 den Präsidenten Papier den Richter Steiner die Richterin Hohmann-Dennhardt  	Papier, Steiner, Hohmann-Dennhardt	Papier, Steiner, Hohmann-Dennhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/11/rk20041124_1bvr130602.html;jsessionid=7A5577B4C08248FB7EE79399C0AFC134.2_cid370
4864	4863	2BvR1068/03	18.01.2006	2	NA	NA	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/01/rk20060118_2bvr106803.html;jsessionid=EC945D561361438A928A6DD77298E136.2_cid383
4865	4864	1BvR2344/11	09.01.2014	1	2	2	 die Richter Gaier   Schluckebier   Paulus  	Gaier, Schluckebier, Paulus	Gaier, Schluckebier, Paulus	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/01/rk20140109_1bvr234411.html;jsessionid=EC96AD7626F4F98DDB14C162E5E04834.2_cid383
4866	4865	2BvR1970/01	30.01.2002	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/01/rk20020130_2bvr197001.html;jsessionid=149682A0A6CA2B20E71714AF280C65F2.2_cid394
4867	4866	2BvR429/11	09.12.2014	2	1	1	 den Präsidenten Voßkuhle   den Richter Landau   die Richterin Hermanns  	Voßkuhle, Landau, Hermanns	Voßkuhle, Landau, Hermanns	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/12/rk20141209_2bvr042911.html;jsessionid=BBB00173EA840FC670A64BFEA9F9FC24.2_cid392
4868	4867	2BvR1783/09	22.05.2010	2	3	3	 den Präsidenten Voßkuhle den Richter Mellinghoff die Richterin Lübbe-Wolff  	Voßkuhle, Mellinghoff, Lübbe-Wolff	Voßkuhle, Mellinghoff, Lübbe-Wolff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/05/rk20100522_2bvr178309.html;jsessionid=77BEBED17DB4BBFF487690C5ADDC57B8.2_cid392
4869	4868	NA	None	NA	NA	NA	 	No names in the text	None	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/EN/2009/11/rs20091104_1bvr215008en.html;jsessionid=C618B1329FD9E0BBD6C2B9F5AAAE8278.2_cid361
4870	4869	2BvR1964/05	05.12.2005	2	3	3	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/12/rk20051205_2bvr196405.html;jsessionid=AF275A447F07F058B5EFD6963BF014B1.2_cid370
4871	4870	2BvC38/14	14.03.2016	2	NA	NA	 Präsident Voßkuhle   Landau   Huber   Hermanns   Müller   Kessal-Wulf   König   Maidowski  	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/03/cs20160314_2bvc003814.html;jsessionid=2892E6896B883D815B2969A89E4CE0F5.2_cid393
4872	4871	2BvR1942/05	18.01.2006	2	3	NA	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/01/rk20060118_2bvr194205.html;jsessionid=EC945D561361438A928A6DD77298E136.2_cid383
4873	4872	1BvR2700/95	12.12.2002	1	1	NA	 den Präsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/12/rk20021212_1bvr270095.html;jsessionid=09ABC313A687CCDD4F52A9AAF9AED3E8.2_cid383
4874	4873	2BvR720/01	22.01.2002	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/01/rk20020122_2bvr072001.html;jsessionid=F372298CB1D8E242A4B1409EEC2C802A.2_cid383
4875	4874	1BvR3048/11	20.12.2011	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/12/rk20111220_1bvr304811.html;jsessionid=33F08953B54061EF6AFA1FC9FB264A43.2_cid393
4876	4875	1BvR1084/15	19.08.2015	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/08/rk20150819_1bvr108415.html;jsessionid=04D538A18A65A7BCBC346954028EEB4D.2_cid361
4877	4876	1BvR792/03	30.07.2003	1	2	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/07/rk20030730_1bvr079203.html;jsessionid=FEDDEDCC9B35D235DC7F511507936931.2_cid394
4878	4877	2BvL6/03	08.09.2008	2	3	3	 den Richter Mellinghoff die Richterin Lübbe-Wolff den Richter Gerhardt  	Mellinghoff, Lübbe-Wolff, Gerhardt	Mellinghoff, Lübbe-Wolff, Gerhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/09/lk20080908_2bvl000603.html;jsessionid=D2F8848DBD6184AE8322B469D72CCA0C.2_cid394
4879	4878	2BvR148/11	15.12.2011	2	2	2	 die Richter Di Fabio Gerhardt die Richterin Hermanns  	Di Fabio, Gerhardt, Hermanns	DiFabio, Gerhardt, Hermanns	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/12/rk20111215_2bvr014811.html;jsessionid=33F08953B54061EF6AFA1FC9FB264A43.2_cid393
4880	4879	1BvR1745/06	14.09.2010	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/09/rk20100914_1bvr174506.html;jsessionid=5AF4B2F18195F6FC2F4814EDBBCB9D07.2_cid370
4881	4880	2BvR138/01	16.03.2001	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/03/rk20010316_2bvr013801.html;jsessionid=C89EDAD855C42880FF104E0F40E72D02.2_cid383
4882	4881	NA	None	NA	NA	NA	 	No names in the text	None	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/08/lk19990827_1bvl000796.html;jsessionid=E683CF216EB66EEE5C16E0B80893230D.2_cid370
4883	4882	1BvQ37/09	26.08.2009	1	3	3	 die Richter Gaier Schluckebier Kirchhof  	Gaier, Schluckebier, Kirchhof	Gaier, Schluckebier, Kirchhof	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/08/qk20090826_1bvq003709.html;jsessionid=5159313913D162C5D840340CE6295523.2_cid393
4884	4883	2BvR93/07	16.05.2007	2	2	2	 den Richter Broß die Richterin Lübbe-Wolff den Richter Gerhardt  	Broß, Lübbe-Wolff, Gerhardt	Broß, Lübbe-Wolff, Gerhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/05/rk20070516_2bvr009307.html;jsessionid=D1233F58406BEB476EF5E59085154124.2_cid392
4885	4884	2BvR764/07	11.01.2008	2	1	1	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/01/rk20080111_2bvr076407.html;jsessionid=25D9838AAD2A0FA0BC0CBEAA12A8839C.2_cid370
4886	4885	1BvQ4/06	27.01.2006	1	1	1	 die Richter Steiner Hoffmann-Riem Gaier  	Hoffmann-Riem, Steiner, Gaier	Steiner, Hoffmann-Riem, Gaier, 	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/01/qk20060127_1bvq000406.html;jsessionid=1946D30F8E7870BE3A1A90827CA3ADCF.2_cid361
4887	4886	1BvR729/92	15.12.1999	1	1	1	 Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/12/rk19991215_1bvr072992.html;jsessionid=B6D96061CD3A3C4747A551B94E586F62.2_cid392
4888	4887	2BvR2947/14	19.12.2014	2	NA	2	 den Richter Landau   die Richterinnen Kessal-Wulf   König  	Landau, Kessal-Wulf, König	Landau, Kessal-Wulf, König	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/12/rk20141219_2bvr294714.html;jsessionid=2A8B3D73BE8509FAF901B1058B105062.2_cid361
4889	4888	1BvR1638/94	27.01.1999	1	1	1	 Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/01/rk19990127_1bvr163894.html;jsessionid=C7D0E7297AABBBDC6D7C830F241508E7.2_cid383
4890	4889	1BvR1709/93	21.06.2000	1	3	3	 Vizepräsidenten Papier die Richterinnen Haas Hohmann-Dennhardt  	Papier, Haas, Hohmann-Dennhardt	Papier, Haas, Hohmann-Dennhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/06/rk20000621_1bvr170993.html;jsessionid=C6C16DC65AC342B98DEFDBF2D0AA4089.2_cid394
4891	4890	2BvR1023/08	15.07.2010	2	3	3	 den Präsidenten Voßkuhle den Richter Mellinghoff die Richterin Lübbe-Wolff  	Voßkuhle, Mellinghoff, Lübbe-Wolff	Voßkuhle, Mellinghoff, Lübbe-Wolff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/07/rk20100715_2bvr102308.html;jsessionid=2628F67A5E7C796255ADEB79323617ED.2_cid383
4892	4891	1BvL17/00	10.10.2001	1	NA	NA	 des Vizepräsidenten Papier   der Richterinnen Jaeger   Haas   der Richter Hömig   Steiner   der Richterin Hohmann-Dennhardt   der Richter Hoffmann-Riem   Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/10/ls20011010_1bvl001700.html;jsessionid=8A7EF691B455FE1DCA7920440CF41733.2_cid383
4893	4892	1BvR2095/04	08.11.2004	1	2	2	 Hömig Bryde Gaier  	Hömig, Bryde, Gaier	Hömig, Bryde, Gaier	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/11/rk20041108_1bvr209504.html;jsessionid=B46F6C30003008F0B8E71B68F4E3E5CA.2_cid393
4894	4893	1BvR1679/01	31.10.2001	1	NA	2	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/10/rk20011031_1bvr167901.html;jsessionid=C78B22FD98C082B13D1F684715664C54.2_cid383
4895	4894	2BvR378/05	12.03.2008	2	2	2	 den Richter Broß die Richterin Lübbe-Wolff den Richter Gerhardt  	Broß, Lübbe-Wolff, Gerhardt	Broß, Lübbe-Wolff, Gerhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/03/rk20080312_2bvr037805.html;jsessionid=9302B7D26FC18AF60523567A9FEC5F58.2_cid361
4896	4895	2BvR2000/03	03.12.2003	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/12/rk20031203_2bvr200003.html;jsessionid=AA54BF0A16911399B091367D826E4536.2_cid392
4897	4896	1BvR2983/10	16.07.2012	1	2	2	 die Richter Gaier Paulus die Richterin Britz  	Gaier, Paulus, Britz	Gaier, Paulus, Britz, 	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/07/rk20120716_1bvr298310.html;jsessionid=CC0304C17B08BAA591E17299A08B3CEE.2_cid392
4898	4897	1BvR2035/07	21.06.2011	1	NA	NA	 Vizepräsident Kirchhof Gaier Eichberger Schluckebier Masing Paulus Baer Britz  	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/06/rs20110621_1bvr203507.html;jsessionid=E8D4DB8C395A4D3224A1A112CFE7B54B.2_cid392
4899	4898	1BvR193/05	08.05.2007	1	1	1	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/05/rk20070508_1bvr019305.html;jsessionid=C12B32632708952A7F5102F6EACBCDD9.2_cid393
4900	4899	2BvR99/97	24.07.1998	2	1	1	 Winter Sommer Jentsch  	Winter, Sommer, Jentsch	Winter, Sommer, Jentsch	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/07/rk19980724_2bvr009997.html;jsessionid=B9BC72234980F6E821EE2C47BA84AD30.2_cid392
4901	4900	2BvL20/08	17.04.2013	2	2	2	 den Richter Gerhardt die Richterin Hermanns den Richter Müller  	Gerhardt, Hermanns, Müller	Gerhardt, Hermanns, Müller	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/04/lk20130417_2bvl002008.html;jsessionid=660012EDDACF380FCD1C9014DAAEE97A.2_cid383
4902	4901	1BvQ30/03	14.08.2003	1	1	1	 Präsidenten Papier   die Richterin Hohmann-Dennhardt   den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/08/qk20030814_1bvq003003.html;jsessionid=FEDDEDCC9B35D235DC7F511507936931.2_cid394
4903	4902	1BvR1100/12	06.07.2012	1	NA	2	 die Richter Gaier Paulus die Richterin Britz  	Gaier, Paulus, Britz	Gaier, Paulus, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/07/rk20120706_1bvr110012.html;jsessionid=CC0304C17B08BAA591E17299A08B3CEE.2_cid392
4904	4903	1BvR329/03	18.03.2003	1	3	NA	 den Präsidenten Papier den Richter Steiner die Richterin Hohmann-Dennhardt  	Papier, Steiner, Hohmann-Dennhardt	Papier, Steiner, Hohmann-Dennhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/03/rk20030318_1bvr032903.html;jsessionid=AD37D168C6FBB6EC8C939A23CCF0EE4D.2_cid361
4905	4904	1BvR2519/13	09.09.2013	1	3	3	 den Vizepräsidenten Kirchhof den Richter Paulus die Richterin Baer  	Kirchhof, Paulus, Baer	Kirchhof, Paulus, Baer	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/09/rk20130909a_1bvr251913.html;jsessionid=34EBBA5B1E18F5B4D35FBF0FA49C5BBC.2_cid393
4906	4905	2BvM1/98	02.02.1999	2	NA	NA	 Präsidentin Limbach Kirchhof Winter Sommer Jentsch Hassemer Broß Osterloh  	Limbach, Kirchhof, Winter, Sommer, Jentsch, Hassemer, Broß, Osterloh	Limbach, Kirchhof, Winter, Sommer, Jentsch, Hassemer, Broß, Osterloh	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/02/ms19990202_2bvm000198.html;jsessionid=C7D0E7297AABBBDC6D7C830F241508E7.2_cid383
4907	4906	2BvR2419/13	08.01.2015	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/01/rk20150108_2bvr241913.html;jsessionid=2A8B3D73BE8509FAF901B1058B105062.2_cid361
4908	4907	2BvQ84/09	09.12.2009	2	3	3	 den Vizepräsidenten Voßkuhle den Richter Mellinghoff die Richterin Lübbe-Wolff  	Voßkuhle, Mellinghoff, Lübbe-Wolff	Voßkuhle, Mellinghoff, Lübbe-Wolff	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/12/qk20091209_2bvq008409.html;jsessionid=77945ED59FC72C23FFFAA9DD3BB6145B.2_cid361
4909	4908	2BvR1739/062BvR1811/06	04.09.2008	2	2	2	 die Richter Broß Di Fabio Landau  	Broß, Di Fabio, Landau	Broß, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/09/rk20080904_2bvr173906.html;jsessionid=D2F8848DBD6184AE8322B469D72CCA0C.2_cid394
4910	4909	1BvL10/05	27.05.2008	1	NA	NA	 Präsident Papier Hohmann-Dennhardt Bryde Gaier Eichberger Schluckebier Kirchhof Masing  	Papier, Hohmann-Dennhardt, Bryde, Gaier, Eichberger, Schluckebier, Kirchhof, Masing	Papier, Hohmann-Dennhardt, Bryde, Gaier, Eichberger, Schluckebier, Kirchhof, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/05/ls20080527_1bvl001005.html;jsessionid=96492DCBBDC60E38E7B8BB438F05BA75.2_cid370
4911	4910	1BvR13/98	03.07.1998	1	1	1	 Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/07/rk19980703_1bvr001398.html;jsessionid=F12AC20374B5AEEF7A3F62CBD168BFA0.2_cid370
4912	4911	2BvR897/02	27.02.2003	2	1	NA	 die Richter Sommer Di Fabio die Richterin Lübbe-Wolff  	Sommer, Di Fabio, Lübbe-Wolff	Sommer, DiFabio, Lübbe-Wolff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/02/rk20030227_2bvr089702.html;jsessionid=41FF27F346ABF1AC0716E07A8DF01E6E.2_cid393
4913	4912	2BvR566/15	22.03.2016	2	2	2	 den Richter Landau   die Richterinnen Kessal-Wulf   König  	Landau, Kessal-Wulf, König	Landau, Kessal-Wulf, König	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/03/rk20160322_2bvr056615.html;jsessionid=44B0A53B85529C2220F9B8C7EAE8C43E.2_cid370
4914	4913	1BvR247/05	29.09.2006	1	2	2	 die Richterin Haas die Richter Bryde Eichberger  	Haas, Bryde, Eichberger	Haas, Bryde, Eichberger	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/09/rk20060929_1bvr024705.html;jsessionid=66CF20F6A4C4935A2BA066D7811F2B05.2_cid394
4915	4914	1BvR2228/02	26.03.2007	1	1	1	 die Richterin Hohmann-Dennhardt die Richter Hoffmann-Riem Gaier  	Hohmann-Dennhardt, Hoffmann-Riem, Gaier	Hohmann-Dennhardt, Hoffmann-Riem, Gaier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/03/rk20070326_1bvr222802.html;jsessionid=4A0C5C62F341DDB4629E111E8699F23E.2_cid393
4916	4915	2BvE4/13	17.09.2013	2	NA	NA	 Präsident Voßkuhle Lübbe-Wolff Gerhardt Landau Huber Hermanns Müller Kessal-Wulf  	Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf	Voßkuhle, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns, Müller, Kessal-Wulf	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/09/es20130917_2bve000413.html;jsessionid=34EBBA5B1E18F5B4D35FBF0FA49C5BBC.2_cid393
4917	4916	2BvR1198/01	03.10.2001	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/10/rk20011003_2bvr119801.html;jsessionid=E37E14790A6FEEB32B9A2869875D8A34.2_cid393
4918	4917	1BvR2123/08	14.04.2011	1	3	3	 den Vizepräsidenten Kirchhof den Richter Schluckebier die Richterin Baer  	Kirchhof, Schluckebier, Baer	Kirchhof, Schluckebier, Baer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/04/rk20110414_1bvr212308.html;jsessionid=D0CC332B969E3220F33BA40B58A7DF3B.2_cid392
