i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	Anordnung	link
36	35	1BvR1603/99	10.12.1999	1	1	1	 den Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/12/rk19991210_1bvr160399.html;jsessionid=2179D6219899012BCE4F25B63D7327C4.2_cid392
37	36	1BvR946/07	31.07.2007	1	1	1	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/07/rk20070731_1bvr094607.html;jsessionid=AFF441CD987097FBF104B83B675568EC.2_cid392
38	37	1BvR1813/08	26.11.2008	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/11/rk20081126_1bvr181308.html;jsessionid=83184D9ED7117BDE5754B0B017743976.2_cid393
39	38	1BvR91/06	10.02.2006	1	1	NA	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/02/rk20060210_1bvr009106.html;jsessionid=4BBD583ED58E82460B3102898C0A9078.2_cid392
40	39	2BvQ43/15	27.11.2015	2	3	3	 die Richter Landau   Müller   die Richterin Kessal-Wulf  	Landau, Müller, Kessal-Wulf	Landau, Müller, Kessal-Wulf	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/11/qk20151127a_2bvq004315.html;jsessionid=C95CB424CE4C0BAD18B943448E3D3FDD.2_cid393
41	40	2BvR1877/972BvR50/98	None	NA	NA	NA	 – Judges President Limbach Graßhof Kruis Kirchhof Winter Sommer Jentsch Hassemer –  	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/EN/1998/03/rs19980331_2bvr187797en.html;jsessionid=30E82D87436A8B2C7A9BFCD5CB480106.2_cid394
42	41	1BvQ28/15	20.08.2015	1	2	2	 die Richter Gaier   Schluckebier   Paulus  	Gaier, Schluckebier, Paulus	Gaier, Schluckebier, Paulus	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/08/qk20150820_1bvq002815.html;jsessionid=04D538A18A65A7BCBC346954028EEB4D.2_cid361
43	42	1BvR1946/06	08.02.2011	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/02/rk20110208_1bvr194606.html;jsessionid=91AD1AA0CA412E1A6D82E8B7CAF192BE.2_cid393
44	43	1BvQ51/02	14.01.2003	1	NA	NA	 des Präsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/01/qs20030114_1bvq005102.html;jsessionid=50932CD28FA7218491695AA3F17BE07E.2_cid361
45	44	1BvR467/13	24.06.2015	1	1	1	 den Vizepräsidenten Kirchhof   den Richter Eichberger   die Richterin Britz  	Kirchhof, Eichberger, Britz	Kirchhof, Eichberger, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/06/rk20150624_1bvr046713.html;jsessionid=E8AD9433912452FF9900D47BEB666A8A.2_cid383
