"","az","date","senat","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"4474"," 2 BvR 1324/03  ",2003-08-27,2,2,"Jentsch","Broß","Osterloh","Jentsch","Broß","Lübbe-Wolff","Mellinghoff Osterloh Hassemer Gerhardt DiFabio","Lübbe-Wolff","Osterloh","Jentsch Broß Mellinghoff",0,1,"2","Mellinghoff Osterloh Hassemer Gerhardt DiFabio",1,FALSE,1
"4702"," 2 BvR 917/02  ",2004-01-29,2,2,"Hassemer","Osterloh","Mellinghoff","Jentsch","Broß","Lübbe-Wolff","Mellinghoff Osterloh Hassemer Gerhardt DiFabio","Jentsch Broß Lübbe-Wolff","Hassemer Osterloh Mellinghoff","Mellinghoff Osterloh Hassemer",2,0,"1 2 3","Mellinghoff Osterloh Hassemer Gerhardt DiFabio",2,FALSE,0
"1450"," 2 BvR 1357/05  ",2005-08-18,2,2,"Hassemer","Jentsch","Broß","Jentsch","Broß","Gerhardt","Mellinghoff Osterloh Hassemer Lübbe-Wolff DiFabio","Gerhardt","Hassemer","Jentsch Broß Mellinghoff",0,1,"3","Mellinghoff Osterloh Hassemer Lübbe-Wolff DiFabio",1,FALSE,1
"5132"," 2 BvR 1651/03  ",2005-09-26,2,2,"Broß","DiFabio","Lübbe-Wolff","Jentsch","Broß","Gerhardt","Mellinghoff Osterloh Hassemer Lübbe-Wolff DiFabio","Jentsch Gerhardt","DiFabio Lübbe-Wolff","Broß Mellinghoff Osterloh",1,0,"4 5","Mellinghoff Osterloh Hassemer Lübbe-Wolff DiFabio",1,FALSE,1
"2266"," 2 BvQ 22/06  ",2006-04-12,2,2,"Osterloh","Lübbe-Wolff","Gerhardt","Broß","Lübbe-Wolff","Gerhardt","Mellinghoff Osterloh Landau DiFabio Hassemer","Broß","Osterloh","Lübbe-Wolff Gerhardt Mellinghoff",2,0,"2","Mellinghoff Osterloh Landau DiFabio Hassemer",3,FALSE,1
"1166"," 2 BvR 699/06  ",2006-04-15,2,2,"Osterloh","Mellinghoff","Lübbe-Wolff","Broß","Lübbe-Wolff","Gerhardt","Mellinghoff Osterloh Landau DiFabio Hassemer","Gerhardt","Mellinghoff","Osterloh Lübbe-Wolff Mellinghoff",2,0,"1","Mellinghoff Landau DiFabio Hassemer",2,FALSE,0
"5512"," 2 BvR 620/03  ",2006-11-08,2,2,"Hassemer","DiFabio","Landau","Broß","Lübbe-Wolff","Gerhardt","Mellinghoff Osterloh Landau DiFabio Hassemer","Broß Lübbe-Wolff Gerhardt","Hassemer DiFabio Landau","Mellinghoff Osterloh Landau",1,0,"3 4 5","Mellinghoff Osterloh Landau DiFabio Hassemer",1,FALSE,1
"2312"," 2 BvR 214/08  ",2008-02-04,2,2,"Osterloh","Mellinghoff","Lübbe-Wolff","Broß","Lübbe-Wolff","Gerhardt","Mellinghoff Osterloh Landau DiFabio Hassemer","Broß Gerhardt","Osterloh Mellinghoff","Lübbe-Wolff Mellinghoff Osterloh",2,0,"1 2","Mellinghoff Osterloh Landau DiFabio Hassemer",2,FALSE,0
"3439"," 2 BvR 733/08  ",2008-05-09,2,2,"DiFabio","Gerhardt","Landau","Broß","DiFabio","Landau","Gerhardt Lübbe-Wolff Mellinghoff Voßkuhle Osterloh","Broß","Gerhardt","DiFabio Landau Gerhardt",1,0,"1","Gerhardt Lübbe-Wolff",1,FALSE,0
"1648","2 BvR 287/09  ",2009-02-19,2,2,"DiFabio","Lübbe-Wolff","Landau","Broß","DiFabio","Landau","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh","Broß","Lübbe-Wolff","DiFabio Landau Voßkuhle",1,0,"2","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",1,FALSE,1
